Method,Path,Summary,Description,Tags,Parameters,Request Body,Response Codes,Response Schema,Operation ID,Deprecated
GET,/storage/buckets,รายการ Buckets ทั้งหมด,ดึงรายการ Buckets ทั้งหมดในระบบ MinIO,Storage (MinIO),,,200,BucketListResponse,list_buckets_storage_buckets_get,No
POST,/storage/buckets,สร้าง Bucket ใหม่,สร้าง Bucket ใหม่ในระบบ MinIO,Storage (MinIO),,CreateBucketRequest,"200, 422",DeleteResponse,create_bucket_storage_buckets_post,No
DELETE,/storage/buckets/{bucket_name},ลบ Bucket,ลบ Bucket ออกจากระบบ MinIO,Storage (MinIO),bucket_name (path),,"200, 422",DeleteResponse,delete_bucket_storage_buckets__bucket_name__delete,No
GET,/storage/buckets/{bucket_name}/objects,รายการ Objects ใน Bucket,ดึงรายการ Objects ทั้งหมดใน Bucket ที่ระบุ,Storage (MinIO),"bucket_name (path), prefix (query)",,"200, 422",ObjectListResponse,list_objects_storage_buckets__bucket_name__objects_get,No
POST,/storage/buckets/{bucket_name}/upload,อัปโหลด Object,อัปโหลดไฟล์ไปยัง Bucket ที่ระบุ,Storage (MinIO),bucket_name (path),Body_upload_object_storage_buckets__bucket_name__upload_post,"200, 422",UploadResponse,upload_object_storage_buckets__bucket_name__upload_post,No
GET,/storage/buckets/{bucket_name}/objects/{object_name}/download,ดาวน์โหลด Object,ดาวน์โหลดไฟล์จาก Bucket ที่ระบุ,Storage (MinIO),"bucket_name (path), object_name (path)",,"200, 422",,download_object_storage_buckets__bucket_name__objects__object_name__download_get,No
GET,/storage/buckets/{bucket_name}/objects/{object_name}/presigned-url,สร้าง Presigned URL,สร้าง URL สำหรับดาวน์โหลดไฟล์แบบมีอายุจำกัด,Storage (MinIO),"bucket_name (path), object_name (path), expires_seconds (query)",,"200, 422",PresignedUrlResponse,get_presigned_url_storage_buckets__bucket_name__objects__object_name__presigned_url_get,No
DELETE,/storage/buckets/{bucket_name}/objects/{object_name},ลบ Object,ลบไฟล์ออกจาก Bucket ที่ระบุ,Storage (MinIO),"bucket_name (path), object_name (path)",,"200, 422",DeleteResponse,delete_object_storage_buckets__bucket_name__objects__object_name__delete,No
GET,/labeling/projects,ดึงรายการโปรเจกต์ทั้งหมด,ดึงรายการโปรเจกต์ทั้งหมดที่มีอยู่ใน Label Studio,Labeling (Label Studio),,,200,ProjectListResponse,get_projects_labeling_projects_get,No
POST,/labeling/projects,สร้างโปรเจกต์ใหม่,สร้างโปรเจกต์สำหรับ labeling ใหม่ โดยกำหนด title และ label_config,Labeling (Label Studio),,CreateProjectRequest,"200, 422",ProjectDetailResponse,create_project_labeling_projects_post,No
GET,/labeling/projects/{project_id},ดึงข้อมูลโปรเจกต์,ดึงรายละเอียดโปรเจกต์ตาม ID ที่ระบุ,Labeling (Label Studio),project_id (path),,"200, 422",ProjectDetailResponse,get_project_labeling_projects__project_id__get,No
DELETE,/labeling/projects/{project_id},ลบโปรเจกต์,ลบโปรเจกต์ออกจาก Label Studio,Labeling (Label Studio),project_id (path),,"200, 422",app__features__labeling__schemas__MessageResponse,delete_project_labeling_projects__project_id__delete,No
GET,/labeling/projects/{project_id}/tasks,ดึงรายการ Tasks ในโปรเจกต์,ดึงรายการ task ทั้งหมดที่อยู่ในโปรเจกต์ที่ระบุ,Labeling (Label Studio),project_id (path),,"200, 422",TaskListResponse,get_tasks_labeling_projects__project_id__tasks_get,No
POST,/labeling/projects/{project_id}/tasks,นำเข้า Tasks แบบกลุ่ม,นำเข้าข้อมูล task เข้าสู่โปรเจกต์เพื่อการ label,Labeling (Label Studio),project_id (path),CreateTasksRequest,"200, 422",app__features__labeling__schemas__MessageResponse,create_tasks_labeling_projects__project_id__tasks_post,No
POST,/workers/jobs,Enqueue a new background job,เพิ่ม Job ใหม่เข้าคิวเพื่อประมวลผลเบื้องหลัง (Background Job) ด้วย ARQ,Workers (Background Jobs),,EnqueueJobRequest,"200, 422",JobResponse,enqueue_job_workers_jobs_post,No
GET,/workers/jobs/{job_id},Get job status,ตรวจสอบสถานะการทำงานของ Job ผ่าน Job ID,Workers (Background Jobs),job_id (path),,"200, 422",JobStatusResponse,get_job_status_workers_jobs__job_id__get,No
GET,/workers/redis/ping,Ping Redis server,ทดสอบการเชื่อมต่อกับ Redis Server,Workers (Background Jobs),,,200,RedisPingResponse,ping_redis_workers_redis_ping_get,No
GET,/workers/redis/info,Get Redis server info,ดึงข้อมูลสถานะและสถิติของ Redis Server,Workers (Background Jobs),,,200,RedisInfoResponse,redis_info_workers_redis_info_get,No
